fluorophore,synonym1,synonym2,synonym3,synonym4,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,channel.cytostellar,excitation.laser,nominal.wavelength,is.viability,class
PE-CF594,PE CF594,PECF594,,,YG3-A,B6-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,594,NA,Protein tandem
PE-Cy5,PE Cy5,PECy5,,,YG5-A,B8-A,561CH19-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG670-A,YG5,YellowGreen,670,NA,Protein tandem
PE-Cy5.5,PE Cy5.5,PECy55,,,YG7-A,B9-A,561CH21-A,YG7 (700)-A,Y700-A,Y6-A,FL26-A,YG695-A,YG7,YellowGreen,695,NA,Protein tandem
PE-Cy7,PE Cy7,PECy7,,,YG9-A,B13-A,561CH29-A,YG10 (780)-A,Y784-A,Y9-A,FL28-A,YG780-A,YG10,YellowGreen,774,NA,Protein tandem
PE-Dazzle 594,PE Dazzle 594,PE-Dazzle594,PED594,,YG3-A,B6-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,610,NA,Protein tandem
PE-eFluor 610,PE eFluor 610,PE-eFluor610,PE-e Fluor 610,,YG3-A,B6-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,606,NA,Protein tandem
PE-Fire 640,PE Fire 640,PE-Fire640,,,YG4-A,B7-A,561CH18-A,YG4 (625)-A,Y661-A,Y4-A,FL33-A,YG660-A,YG4,YellowGreen,639,NA,Protein tandem
PE-Fire 700,PE Fire 700,PE-Fire700,,,YG7-A,B9-A,561CH21-A,YG7 (700)-A,Y700-A,Y6-A,FL26-A,YG695-A,YG7,YellowGreen,695,NA,Protein tandem
PE-Fire 744,PE Fire 744,PE-Fire744,,,YG8-A,B12-A,561CH25-A,YG9 (750)-A,Y757-A,Y8-A,FL28-A,YG750-A,YG9,YellowGreen,744,NA,Protein tandem
PE-Fire 810,PE Fire 810,PE-Fire810,,,YG10-A,B14-A,561CH31-A,YG11 (810)-A,Y815-A,Y10-A,FL27-A,YG825-A,YG11,YellowGreen,806,NA,Protein tandem
PE-Texas Red,PETxRed,PE-TxRed,PE Texas Red,,YG3-A,B6-A,561CH14-A,YG4 (625)-A,Y618-A,Y4-A,FL33-A,YG602-A,YG4,YellowGreen,615,NA,Protein tandem
PE-Vio615,PE Vio615,PEVio615,,,YG3-A,B6-A,561CH14-A,YG4 (625)-A,Y618-A,Y4-A,FL33-A,YG602-A,YG4,YellowGreen,615,NA,Protein tandem
PE-Vio770,PE Vio770,PEVio770,,,YG9-A,B13-A,561CH29-A,YG10 (780)-A,Y784-A,Y9-A,FL28-A,YG780-A,YG10,YellowGreen,775,NA,Protein tandem
PerCP,PerCP,PERCP,Per CP,,B8-A,B8-A,488CH19-A,B10 (675)-A,B661-A,B9-A,FL42-A,B675-A,B10,Blue,675,NA,Protein
PerCP-Cy5.5,PerCP Cy5.5,PerCPCy5.5,,,B9-A,B9-A,488CH21-A,B11 (700)-A,B681-A,B10-A,FL41-A,B710-A,B11,Blue,690,NA,Protein tandem
PerCP-eFluor 710,PerCP eFluor 710,PerCP-eFluor710,PerCP-eFlour 710,Per CP-e Fluor 710,B10-A,B10-A,488CH23-A,B11 (700)-A,B717-A,B10-A,FL41-A,B710-A,B11,Blue,708,NA,Protein tandem
PerCP-Fire 780,PerCP Fire 780,PerCP-Fire780,,,B14-A,B14-A,488CH28-A,B14 (780)-A,B784-A,B13-A,FL40-A,B750-A,B14,Blue,774,NA,Protein tandem
PerCP-Fire 806,PerCP Fire 806,PerCP-Fire806,,,B14-A,B14-A,488CH32-A,B15 (810)-A,B815-A,B14-A,FL40-A,B810-A,B15,Blue,806,NA,Protein tandem
PerCP-Vio700,PerCP-Vio 700,PerCP Vio 700,PerCPVio700,PerCP-Vio700,B10-A,B10-A,488CH23-A,B11 (700)-A,B717-A,B10-A,FL41-A,B710-A,B11,Blue,704,NA,Protein tandem
Propidium Iodide,PI,Propidium-Iodide,,,YG4-A,B7-A,561CH18-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG660-A,YG5,YellowGreen,617,TRUE,
Qdot 525,Qdot525,Qdot-525,,,V7-A,V7-A,355CH6-A,V7 (530)-A,V525-A,V6-A,FL14-A,V510-A,V7,Violet,525,NA,Qdot
Qdot 545,Qdot545,Qdot-545,,,V8-A,V8-A,355CH8-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,V8,Violet,545,NA,Qdot
Qdot 565,Qdot565,Qdot-565,,,V8-A,V8-A,355CH9-A,V9 (575)-A,V582-A,V8-A,FL12-A,V540-A,V9,Violet,565,NA,Qdot
Qdot 585,Qdot585,Qdot-585,,,V9-A,V9-A,355CH11-A,V10 (590)-A,V582-A,V8-A,FL23-A,V576-A,V10,Violet,585,NA,Qdot
Qdot 605,Qdot605,Qdot-605,,,V10-A,V10-A,405CH14-A,V11 (605)-A,V600-A,V9-A,FL23-A,V615-A,V11,Violet,605,NA,Qdot
Qdot 625,Qdot625,Qdot-625,,,V10-A,V10-A,405CH14-A,V12 (625)-A,V618-A,V10-A,FL23-A,V615-A,V12,Violet,625,NA,Qdot
Qdot 655,Qdot655,Qdot-655,,,V11-A,V11-A,405CH18-A,V13 (655)-A,V661-A,V11-A,FL22-A,V660-A,V13,Violet,655,NA,Qdot
Qdot 705,Qdot705,Qdot-705,,,V13-A,V13-A,405CH21-A,V15 (700)-A,V700-A,V13-A,FL21-A,V710-A,V15,Violet,705,NA,Qdot
Qdot 800,Qdot800,Qdot-800,,,V15-A,V15-A,405CH30-A,V19 (810)-A,V815-A,V18-A,FL20-A,V785-A,V19,Violet,800,NA,Qdot
R718,Red 718,,,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,R4,Red,718,NA,Small molecule
R780,Red 780,Red780,,,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,780,NA,Small molecule
RB502,Real Blue 502,[RB502],RealBlue 502,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,502,NA,Real
RB545,Real Blue 545,[RB545],RealBlue 545,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,545,NA,Real
RB575,Real Blue 575,[RB575],RealBlue 575,,B4-A,B4-A,488CH11-A,B5 (575)-A,B582-A,B4-A,FL38-A,B576-A,B5,Blue,575,NA,Real
RB613,Real Blue 613,[RB613],RealBlue 613,,B6-A,B6-A,488CH14-A,B7 (605)-A,B618-A,B6-A,FL39-A,B602-A,B7,Blue,613,NA,Real
RB670,Real Blue 670,[RB670],RealBlue 670,,B8-A,B8-A,488CH19-A,B10 (675)-A,B661-A,B9-A,FL42-A,B660-A,B8,Blue,670,NA,Real
RB705,Real Blue 705,[RB705],RealBlue 705,,B10-A,B10-A,488CH22-A,B11 (700)-A,B717-A,B10-A,FL41-A,B710-A,B10,Blue,705,NA,Real
RB744,Real Blue 744,[RB744],RealBlue 744,,B12-A,B12-A,488CH26-A,B13 (750)-A,B757-A,B12-A,FL40-A,B750-A,B12,Blue,744,NA,Real
RB780,Real Blue 780,[RB780],RealBlue 780,,B14-A,B14-A,488CH29-A,B14 (780)-A,B784-A,B13-A,FL40-A,B810-A,B13,Blue,780,NA,Real
RB824,Real Blue 824,[RB824],RealBlue 824,,B14-A,B14-A,488CH32-A,B15 (810)-A,B815-A,B15-A,FL40-A,B810-A,B14,Blue,824,NA,Real
Red Fluor 710,RFl710,RF710,Red Fluor710,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,R4,Red,710,NA,Small molecule
